light_hours_mean,Rs_mean,date,rain_mean,T_mean,RH_mean,P_mean,u_2_mean,T_max,T_min
9.3,13.27,2024-10-23,0.0,13.038461538461538,70.57692307692308,1012.9615384615385,4.35,21.2,7.2
9.7,12.86,2024-10-24,0.0,14.516666666666666,71.83333333333333,1011.7916666666666,1.9833333333333336,22.3,7.8
8.5,12.16,2024-10-25,0.0,14.891666666666667,73.75,1014.9583333333334,1.8041666666666665,21.3,9.8
4.5,9.94,2024-10-26,0.0,14.3375,76.08333333333333,1013.0833333333334,2.4375,19.7,7.8
1.1,9.0,2024-10-27,0.0,16.645833333333332,71.16666666666667,1013.0416666666666,2.629166666666667,20.3,13.5
4.3,11.25,2024-10-28,0.0,14.458333333333334,68.45833333333333,1010.625,1.8666666666666665,19.5,10.9
8.0,11.89,2024-10-29,0.0,15.854166666666666,73.625,1009.0416666666666,3.483333333333333,23.1,10.2
0.2,6.76,2024-10-30,0.0,16.179166666666667,77.66666666666667,1014.125,3.295833333333333,19.9,12.5
0.0,7.26,2024-10-31,0.0041666666666666,15.3625,79.875,1014.75,3.15,17.4,13.2
7.2,9.93,2024-11-01,0.0,14.254166666666668,74.54166666666667,1015.625,2.591666666666667,19.7,9.0
8.8,11.48,2024-11-02,0.0,14.75,76.33333333333333,1014.4583333333334,2.470833333333333,21.8,8.0
4.6,9.94,2024-11-03,0.0,15.842307692307692,72.23076923076923,1012.1923076923076,3.5,21.8,10.8
4.8,9.0,2024-11-04,0.0,12.075,40.75,1021.8333333333334,5.879166666666666,16.7,5.6
9.2,11.51,2024-11-05,0.0,8.495833333333334,55.291666666666664,1021.0,1.6583333333333332,15.3,2.3
8.7,11.18,2024-11-06,0.0,10.429166666666667,63.041666666666664,1020.2916666666666,2.5166666666666666,17.4,3.1
8.4,10.66,2024-11-07,0.0,12.408333333333331,58.5,1018.3333333333334,3.6666666666666665,18.8,7.5
1.5,8.2,2024-11-08,0.0,13.704166666666666,62.666666666666664,1016.5833333333334,1.8583333333333336,17.5,9.6
0.2,6.74,2024-11-09,0.0,13.566666666666668,76.04166666666667,1015.2916666666666,1.9291666666666665,16.0,11.9
4.3,9.08,2024-11-10,0.0,13.583333333333334,80.875,1013.7916666666666,3.8208333333333337,17.4,9.9
0.0,6.72,2024-11-11,0.0,14.1875,76.83333333333333,1014.2916666666666,2.9291666666666667,16.8,11.8
0.0,4.86,2024-11-12,0.1458333333333333,12.8625,88.625,1012.6666666666666,3.5708333333333333,16.0,9.8
0.0,3.21,2024-11-13,0.2583333333333333,13.283333333333331,94.33333333333331,1010.5833333333334,3.358333333333333,13.9,12.6
0.0,5.85,2024-11-14,0.1416666666666666,13.808333333333332,94.625,1008.7083333333334,2.2291666666666665,14.6,13.1
0.0,5.16,2024-11-15,0.0,13.629166666666668,91.04166666666669,1009.5416666666666,1.7416666666666665,15.8,10.7
0.3,6.42,2024-11-16,0.0,14.7375,81.625,1013.75,2.6916666666666664,17.6,13.2
3.1,7.32,2024-11-17,0.0,11.428,59.12,1022.8,2.8680000000000003,13.6,9.4
0.0,5.05,2024-11-18,0.0,8.591666666666667,58.541666666666664,1027.5,2.6625,10.0,7.0
2.0,8.72,2024-11-19,0.0,8.125,74.83333333333333,1022.75,4.05,10.9,6.2
8.0,9.72,2024-11-20,0.0,8.4625,78.625,1017.5416666666666,2.2583333333333333,15.2,2.9
8.8,9.89,2024-11-21,0.0,9.079166666666667,72.16666666666667,1016.4166666666666,1.4541666666666666,16.9,2.5
5.6,8.27,2024-11-22,0.0,8.616666666666667,64.45833333333333,1019.8333333333334,2.4375,13.7,4.1
3.6,7.49,2024-11-23,0.0,6.763999999999999,81.68,1020.6,1.608,11.6,2.0
0.0,5.96,2024-11-24,0.0,8.104166666666666,82.41666666666667,1019.0,1.7125,10.3,5.2
